Timestamp, Price, Size, Exchange, Type
2021-03-05 14:48:19.633, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 14:49:16.641, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 14:49:26.472, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 14:53:13.573, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 14:59:09.662, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 14:59:42.008, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 14:59:58.510, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:01:51.199, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:04:37.004, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:05:23.594, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:05:51.994, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:06:59.008, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:09:21.707, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:09:40.920, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:14:34.373, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:15:56.845, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:16:50.341, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:20:08.994, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:20:52.115, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 15:22:10.468, 46.14, 120, NYSE_ARCA, Ask
