Timestamp, Price, Size, Exchange, Type
2021-03-05 10:00:00.123, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:00:00.125, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:04:29.831, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:05:54.747, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:06:06.797, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:09:37.441, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:10:29.688, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:12:43.823, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:14:21.656, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:16:12.199, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:17:14.843, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:20:52.402, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:23:07.307, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:23:40.323, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:24:13.157, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:25:55.522, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:28:17.678, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:29:23.945, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:30:42.747, 46.14, 120, NYSE_ARCA, Ask
2021-03-05 10:34:06.617, 46.14, 120, NYSE_ARCA, Ask
